nama_bandara,latitude,longitude,airport_code
Pantar Kabir Airport,-8.244832,124.219108,AXO
Nop Goliat Dekai Airport,-4.8557,139.482006,DEX
Pulau Panjang Airport,-5.644444,106.5625,PPJ
Okpahik Airstrip,-4.697855,140.770547,ID-0004
Ketapang Airport,-6.899862766265869,113.28289031982422,ID-0005
Notohadinegoro Airport,-8.242494,113.693476,JBB
Berau Airport,2.16350007057,117.68699646,ID-0008
Jatiwangi Airport,-6.678375,108.252219444,ID-0010
Banyuwangi International Airport,-8.31015,114.3401,BWX
Lasondre Airport,-0.01924,98.30097,ID-0012
Letkol Wisnu Airstrip,-8.14055555556,114.616666667,ID-0013
Aboge Airstrip,-6.0634,139.267,ID-0022
Aboyi Airstrip,-4.288741,140.640664,ID-0023
Amazu Airstrip,-5.6119,139.6234,ID-0024
Ambisibil Airstrip,-4.6712,140.5746,ID-0025
Angguruk Airstrip,-4.200167,139.432554,ID-0026
Arsbol Airstrip,-3.6941,138.9372,ID-0027
Bentiang Airstrip,0.9196,109.9155,ID-0028
Beoga Airport,-3.8165,137.4252,ID-0029
Bime Airstrip,-4.48558,140.219843,ID-0030
Diphikin Airstrip,-4.725525,140.792284,ID-0031
Binuang Airstrip,3.7147,115.8517,ID-0032
Biri Airstrip,-2.87793,137.76816,ID-0033
Bomela Airport,-4.693634,139.912707,ID-0034
Bomoani Airstrip,-3.960942,135.939631,ID-0035
Borme Airstrip,-4.394362,140.436348,ID-0036
Buduk Kabul Airstrip,3.7978,115.7065,ID-0037
Bugalaga Airstrip,-3.6235,136.5963,ID-0038
Comoro Airstrip,-5.926349,138.631461,ID-0040
Dagai Airport,-3.305757,137.94366,ID-0041
Datah Dian Airstrip,2.0062,115.152,ID-0042
Daufo Airfield,-3.1737,137.2544,ID-0043
Derapos Airstrip,-2.9737,137.2234,ID-0044
Dou Airstrip,-3.2625,138.1484,ID-0045
Doyo Baru Airport,-2.538781,140.464293,ID-0046
Eaopoto Airstrip,-3.9497,136.3383,ID-0047
Engkadik Airstrip,0.9797,110.0282,ID-0048
Eri Airstrip,-2.6308,138.1094,ID-0049
Faowi Airstrip,-3.2301,137.7262,ID-0050
Foao Airstrip,-3.066,139.099,ID-0052
Fruata Airstrip,-2.9858,133.5001,ID-0053
Geyarek Airstrip,-4.650391,138.752389,ID-0054
Gilgal Airstrip,0.458,111.0707,ID-0055
Gusimawa Airstrip,-3.0423,133.8779,ID-0056
Haya Airstrip,-2.8156,138.1099,ID-0057
Hing Airstrip,-1.233,133.9478,ID-0058
Hitadipa Airport,-3.734325,137.116992,ID-0059
Holuwon Airstrip,-4.480541,139.273998,ID-0060
Hubliki Airstrip,-3.732237,139.286263,ID-0061
Hulu Atas Airstrip,-3.6799,140.22955,ID-0062
Ibele Airstrip,-4.052,138.796,ID-0063
Kaiy Airstrip,-2.9871,138.1062,ID-0064
Illaga III Airport,-3.9993,137.65317,ID-0066
Ilugwa/Antara Airport,-3.835894,138.921683,ID-0067
Iratoi Airstrip,-3.2389,137.3339,ID-0068
Iray Airstrip,-1.3297,133.9115,ID-0069
Iwur Airstrip,-5.139139,140.717638,ID-0070
Jila Airstrip,-4.24677,137.59563,ID-0071
Jita Airstrip,-4.8564,137.7019,ID-0072
Kanggime Airstrip,-3.665978,138.361559,ID-0073
Kasonaweja Airstrip,-2.3007,138.0327,ID-0074
Kaure  Airstrip,-3.469809,140.362085,ID-0075
Kedembak Airstrip,0.5906,111.302,ID-0076
Kelansam Airstrip,0.1228,111.4197,ID-0077
Keneyan Airstrip,-4.5995,138.3844,ID-0078
Kerapak Airstrip,0.0939,111.9083,ID-0079
Kiwi Airstrip,-4.697841,140.722425,ID-0080
Kobagma Airport,-3.666539,139.058758,ID-0081
Komopa Airstrip,-3.7998,136.4775,ID-0082
Koropun Airstrip,-4.479226,139.649894,ID-0083
Kuala Kurun,-1.1277,113.8746,ID-0084
Kuala Randau Airstrip,-0.5824,110.4728,ID-0085
Kustera Airstrip,-2.7467,137.92,ID-0086
Kwerba Airstrip,-2.6434,138.4087,ID-0087
Kwijawagi,-4.0256,138.2046,ID-0088
Lake Holmes Airstrip,-2.4716,137.9879,ID-0089
Landikma Airstrip,-3.8212,139.2423,ID-0090
Langda Airstrip,-4.6785,139.9745,ID-0091
Lokok Airstrip,1.0215,110.0505,ID-0092
Long Alango Airstrip,2.9304,115.8512,ID-0093
Long Rungan,3.5994,115.8418,ID-0094
Long Segar Airstrip,0.7981,116.8157,ID-0095
Luban Airstrip,-4.213917,140.559755,ID-0096
Lumbis Airstrip,4.3038,116.2175,ID-0097
Madya Raya Airstrip,-0.865,111.6637,ID-0098
Magoda Airstrip,-3.9906,135.8532,ID-0099
Oklip Airstrip,-4.762095,140.780554,ID-0100
Nalca Airstrip,-4.3636,139.8351,ID-0101
Nanga Labang Airstrip,0.228,111.65084,ID-0102
Nanga Mawong Airstrip,-0.4322,112.3271,ID-0103
Nanga Merakai Airstrip,0.7024,111.5225,ID-0104
Nanga Nyabu Airstrip,1.0152,112.714,ID-0105
Nanga Ruan Airstrip,0.6283,113.1753,ID-0106
Nenei Airstrip,-1.492,133.9956,ID-0107
Nain Baru Airstrip,1.4032,115.3267,ID-0108
Nania Airstrip,-4.362913,139.30244,ID-0109
Nipsan Airstrip,-4.116755,139.647303,ID-0110
Okyap Airstrip,-4.743448,140.848267,ID-0111
Omban Airstrip,-4.368741,140.392535,ID-0112
Onondowa/Rampi Airport,-2.1254,120.2967,ID-0113
Padang Pagai Airstrip,-2.857831,100.214446,ID-0114
Pagai Airstrip,-3.5362,139.7826,ID-0115
Panggema/Hasan Airport,-4.135396,139.377151,ID-0116
Papasena Airstrip,-2.915,138.5876,ID-0117
