Maskapai,Tanggal_Perjalanan,Waktu_Berangkat,Waktu_Tiba,Durasi_Penerbangan,Jumlah_Transit,Informasi_Tambahan,Jarak_Km,Harga_Tiket
Lion Air,24/03/2019,22:20,01:10 22 Mar,2h 50m,non-stop,No info,1739.8021018961408,725232
Batik Air,1/05/2019,05:50,13:15,7h 25m,2 stops,No info,1560.6966232595826,1425898
Garuda Indonesia,9/06/2019,09:25,04:25 10 Jun,19h,2 stops,No info,2089.2676378593396,2583440
Lion Air,12/05/2019,18:05,23:30,5h 25m,1 stop,No info,1560.6966232595826,1157170
Lion Air,01/03/2019,16:50,21:35,4h 45m,1 stop,No info,1739.8021018961408,2475502
Citilink,24/06/2019,09:00,11:25,2h 25m,non-stop,No info,1560.6966232595826,720765
Garuda Indonesia,12/03/2019,18:55,10:25 13 Mar,15h 30m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Garuda Indonesia,01/03/2019,08:00,05:05 02 Mar,21h 5m,1 stop,No info,1739.8021018961408,4144447
Garuda Indonesia,12/03/2019,08:55,10:25 13 Mar,25h 30m,1 stop,In-flight meal not included,1739.8021018961408,2063291
Transit Maskapai,27/05/2019,11:25,19:15,7h 50m,1 stop,No info,2089.2676378593396,1605112
Batik Air,1/06/2019,09:45,23:00,13h 15m,1 stop,No info,2089.2676378593396,1657593
Lion Air,18/04/2019,20:20,22:55,2h 35m,non-stop,No info,1560.6966232595826,776781
Batik Air,24/06/2019,11:40,13:55,2h 15m,non-stop,No info,1358.3607154263375,868529
Garuda Indonesia,9/05/2019,21:10,09:20 10 May,12h 10m,1 stop,In-flight meal not included,1560.6966232595826,1798284
Lion Air,24/04/2019,17:15,19:50,2h 35m,non-stop,No info,1560.6966232595826,894024
Batik Air,3/03/2019,16:40,19:15 04 Mar,26h 35m,2 stops,No info,2089.2676378593396,2607447
Citilink,15/04/2019,08:45,13:15,4h 30m,1 stop,No info,2089.2676378593396,1084963
Garuda Indonesia,12/06/2019,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,2089.2676378593396,1909758
Batik Air,12/06/2019,20:15,19:15 13 Jun,23h,2 stops,No info,2089.2676378593396,2490204
Garuda Indonesia,27/05/2019,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,2089.2676378593396,2400318
Super Air Jet,6/03/2019,14:10,19:20,5h 10m,1 stop,No info,2089.2676378593396,3628020
Batik Air,21/03/2019,22:00,13:20 19 Mar,15h 20m,1 stop,No info,1739.8021018961408,1294326
Lion Air,3/04/2019,04:00,06:50,2h 50m,non-stop,No info,1750.1147624132104,733792
Lion Air,1/05/2019,18:55,21:50,2h 55m,non-stop,No info,1750.1147624132104,897560
Garuda Indonesia,6/05/2019,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,1560.6966232595826,1443578
Garuda Indonesia,9/06/2019,21:25,12:35 10 Jun,15h 10m,2 stops,No info,2089.2676378593396,2473641
Lion Air,1/06/2019,21:50,03:35 02 Jun,5h 45m,1 stop,No info,2089.2676378593396,1533092
Super Air Jet,15/05/2019,07:00,12:55,5h 55m,1 stop,No info,2089.2676378593396,1429620
